CENTRE,8.5 Herb 8,1L Herb 8,Straw 9,Straw 10,Straw 11,Straw 12,Straw 13,Straw 14,Straw 15,Straw 16,Straw 17,Straw 18,Straw 19,Straw 20,Straw 21,Straw 22,8.5cm Straw 9,8.5cm Straw 10,8.5cm Straw 11,8.5cm Straw 12,8.5cm Straw 13,8.5cm Straw 14,8.5cm Straw 15,8.5cm Straw 16,8.5cm Straw 17,8.5cm Straw 18,8.5cm Straw 19,8.5cm Straw 20,8.5cm Straw 21,8.5cm Straw 22,SPEA 9,SPEA 10,SPEA 11,SPEA 12,SPEA 13,SPEA 14,SPEA 15,SPEA 16,SPEA 17,SPEA 18,SPEA 19,8.5cm S/Peas 10,8.5cm S/Peas 11,8.5cm S/Peas 12,8.5cm S/Peas 13,8.5cm S/Peas 14,8.5cm S/Peas 15,8.5cm S/Peas 16,8.5cm S/Peas 17,8.5cm S/Peas 18,8.5cm S/Peas 19,Grafted 14,Grafted 16,Grafted 18,Grafted Chilli 14,Grafted Chilli 16,Grafted Chilli 18,Dyna Chilli 15,Dyna Chilli 17,P/Bean 15,P/Bean 17,P/Bean 19,Sweet Potato 17,Heritage Tom 18,Heritage Tom 20,1L Veg 20,1L Veg 22,Autumn Strip,Wildflower Week 12
Old Barn Nurseries (Tate Bros),,,15,,15,,30,15,,15,15,,,,,,,,,,,,,,,,,,,,15,,15,,30,15,,15,15,,,,,,,,,,,,,,20,,,6,,16,,,,,,,,20,,,16
Otter Jack's Patch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,
Otter Lymington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,16,,,,,8,,,,,,
Otter Paignton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,
Otter Plymouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,16,,,,,8,,,,,,
Otter Taunton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,
Otter Wincanton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,
Ottery St Mary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,16,,,,,8,,,,,,
Oxford Garden Centre,,,,,30,,15,,15,15,9,,,,,,,,,,,,,,8,,,,,,15,,9,,15,,15,,15,,,,,16,,,,,,,,,20,,,,,16,,,16,,,16,,,,,
Palmers Enderby,,,15,,,30,,,15,,30,,,,,,,,,,,,,,,,,,,,15,,,30,,,,,30,,,,,,,,,,,,,20,,20,3,,3,16,,,16,16,12,,,20,,,
Palmers Ullesthorpe,,,,,,15,,15,,15,15,,,,,,,,,,,,,,,,,,,,,,,15,,15,,15,15,,,,,,,,,,,,,,,,,,,16,,16,16,,8,16,,,,,
Paradise Park (Tate Bros),,,15,,15,,15,,15,,15,,,,,,,,,,,,,,,,,,,,15,,15,,15,,15,,15,,,,,,,,,,,,,,20,,,6,,,,,,,,,,20,,30,16
Parkers Garden Company (Frinton),,,,,,,,,,,,,,,,,,30,,,,16,,,,,,,,,,15,,,,15,,,,,,,,,,,,,,,,20,,20,,,,16,,16,,,8,,,30,30,,
Perrywood Sudbury Garden Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,,,,,,,,,,,,,,,
Perrywood Tiptree Garden Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,20,20,,,,,,,,,30,,,,,,
Planters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,3,,,30,,,,,16,16,,20,,,
Plymouth Garden Centre,,,,15,,,,,15,,,,,,,,,,,16,,16,,,16,,,16,,,,15,,,,,,,,,,,,16,,16,,,16,,,,,,,,,16,,16,,,,,,,,,
Polhill Sevenoaks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,30,6,6,6,30,,,,,,,,,,,
Poplar Nurseries,,,,,30,,,30,,,,,,,,,,,,,,,,,30,,,,,,,,15,,,,,,,,,,16,,,,,,,,,,30,,,6,,,16,,16,16,12,,,,30,,
Poplars Luton,,,,,15,,15,,15,,,,,,,,,,,,30,,30,,,30,,,,,,,15,,15,,15,,,,,,,,30,,,,,,,,20,,,3,,30,30,,16,,,30,,30,,,
Primrose Cottage Nursery ,,,,15,,,,,,,,,,,,,,,,,,,,16,,,,,,,,15,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pugh's Garden Village Wenvoe,,,6,,,,6,,,,12,,,,,,,,,,8,,16,,16,,16,,,,,,,,,,,,,,,,,,8,,,  ,10,,,30,,30,3,,,16,,16,,8,8,,,30,,,
Pugh's Radyr,,,30,,15,,30,,30,,30,,,,,,,16,,16,,16,16,,16,,,,,,,,,,,,,,,,,16,,16,,16,16,,16,,16,30,,30,3,,3,16,8,16,,16,8,,,30,,,
QD Stores,,,,,,,420,,,,390,,,,,,,512,,,,336,,,,352,,,,,270,,,,255,,,,,,,,,,,,,336,,,,386,120,,60,,,320,,434,128,,,330,,530,480,,
R V Roger,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,15,,,,,,,,,,30,,,,,,,,,,20,,,,,,16,,,,,4,,,,,,
Radway Bridge Nurseries,,,,,,,,,,,,,,,,,,16,,,16,,,,16,,,,,,,,,,,,,,,,,,,,16,0,,,16,,,20,,,3,,,16,,16,16,,,16,,20,20,,
RHS Bridgewater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,3,,,,,,,,,16,,,,,
RHS Harlow Carr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,3,,,,,,,,,16,,,,,
RHS Hyde Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,3,,,,,,,,,16,,,,,
RHS Rosemoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,3,,,,,,,,,16,,,,,
RHS Wisley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,3,,,,,,,,,30,,,,,
Richardsons,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,16,,,,8,,,,,,
Riverside Garden Centre Bristol,,,15,,30,,15,,,,,,,,,,,,,,,,,,,,,,,,15,,15,,,,15,,,,,,16,,,,16,,,,,,,,,,,,16,,16,16,,,,,,,
Root One,,,,,,,,,,,,,,,,,,16,,,16,,,16,,16,,,16,,,,,,,,,,,,,16,,,16,,,16,,16,,20,,20,3,,,,,16,,16,4,16,,,20,,
Roots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,39,,,,,133,,,76,,,,,,
Ross Garden Store,,,,15,,,,,,,,,,,,,,16,,,,,,,,,,,,,,15,,,15,15,,,,,,16,,,,,,,,,,,,20,,,,,,,,,,,,,,30,
Rowan Garden Centre,,,,,,,,,,,,,,,,,,16,,,12,,,12,,,12,,,,,,,,,,,,,,,16,,,12,,,12,,,12,,,,,,,,,,,,,,,,,,
Rupert Gooddy (Bampton),,,30,,,,,,,,,,,,,,30,,,,,,,,,,,,,,15,,,15,,,15,,,,,16,,,,,,,,,,20,,,3,,,16,16,16,16,,8,30,,20,20,,
Ruxley Manor,,,15,15,15,15,15,15,15,15,15,,,,,,16,,,16,,16,,16,,16,,,,,,15,,,15,,15,,15,,,,16,,,,16,,,,,30,30,30,6,6,3,30,16,16,,16,16,16,,30,30,30,
Scotsdale - Fordham,,,,,30,,,15,,,15,,,,,,,,,16,,,,,16,,,,,,,,15,,,15,,,15,,,,16,,,16,,,,,,20,20,30,6,6,,,16,,,,16,16,,20,,,
Scotsdale - Horningsea,,,15,,,15,,15,,15,15,15,,,,,,16,,,16,,16,,16,,,,,,15,,,,15,,,15,,,,16,,,8,,,,,,,20,,20,3,,,,16,16,16,,8,30,,,30,,
Scotsdale Great Shelford,,,30,15,30,15,15,30,30,30,15,,,,,,30,,16,16,16,,,16,,16,,,,,30,15,30,9,30,15,15,15,30,,,16,,16,,16,,16,,16,,30,30,30,6,3,6,30,30,30,30,16,30,30,,30,30,,
Secret Garden (RG Cocks),,,,,,,,,,,,,,,,,,16,,,,16,,,,16,,,,,,,,,,,,,,,,16,,,,16,,,,16,,30,30,30,,,,    ,,,,,,30,,30,30,,
Simpsons Nurseries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,6,,,,,,,,8,,,,,,
South Downs (Tate Bros),,,15,,15,,30,15,15,15,30,,,,,,,,,,,,,,,,,,,,15,,15,,30,15,15,15,30,,,,,,,,,,,,,20,20,,6,3,,30,30,,,,,,,20,20,30,16
Squires,,,540,,,465,,,480,,390,,,,,,,,,,312,,,,,,,,,,330,,,240,,240,,,195,,,,,,,,,,,,,430,340,300,82,,,382,,256,382,,162,394,192,340,240,,
St Peters (Worcester),,,15,,15,,30,,15,,15,,,,,,,16,,16,,16,,16,,16,,12,,,15,,15,,15,,15,,,,,,,16,,,16,16,16,,,,20,20,,3,,16,16,,16,16,6,16,,20,20,,
Stermat Valley - Store 3 ,,30,,,,,15,,,,,,,,,,,,,,,,16,,16,,,,,,,,,,15,,,,,,,,,,,,16,,16,,,,,20,,,3,16,,,,,8,16,,,,,
Stewarts Abbey Garden Centre,,,15,,15,,12,,12,,15,,,,,,16,,12,,8,,8,,8,,,,,,12,,6,,6,,9,,15,,,,16,,,,8,,,,,30,20,30,6,,3,30,16,30,16,16,16,30,,30,30,,16
Stewarts Broomhill,,,15,,,,15,,15,,,,,,,,,,,,12,,16,,,,,,,,15,,,15,,,15,,,,,,,,,,,16,,,,20,,20,3,,3,16,16,16,,16,8,12,,30,20,,16
Stewarts Christchurch,,,15,15,,15,30,15,9,12,30,,,,,,16,16,,16,16,16,30,10,30,16,16,,,,15,15,,15,15,15,15,15,15,,,16,,16,16,16,16,16,16,,,30,60,30,6,6,6,30,16,30,16,30,30,60,,30,30,,16
Stratford Garden Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,,,,,,,,,,,,,,,
Summerseat,,,30,,,,,15,,,15,,,,,,,15,,,,15,,,,15,,,,,30,,,,,15,,,15,,,15,,,,15,,,,15,,,20,,,3,,16,,,16,,4,8,,20,20,,16
SUNSHINE GC,,,15,,15,,,15,,,,,,,,,16,,,16,,,16,,,16,,,,,15,,,,,,,,,,,,,,,,,,,,,30,60,30,3,3,3,30,,16,,,12,30,,,,,
Tenterden Garden Centre,,,15,,,,15,,,,15,,,,,,16,,,,16,,,,16,,,16,,,15,,,,15,,,,15,,,,,16,,,,,,,,,,,,,,,,16,16,,,16,,,30,30,
The Barn Peterbrough (Oundle),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,
The Fair View Gardener,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,15,,15,,,,,,,,,16,,,,16,,,,,,30,,,3,,,16,,16,16,16,8,16,,20,20,,
The Old Well,,,,15,,,15,,,,15,,,,,,,,16,,16,,,,16,,,,,,,15,,,,15,,,15,,,,,,,,,,,,,20,20,,,,,,16,,16,,,16,,20,,30,
Thetford Garden Centre,,,,,,,,,,,,,,,,,16,,,,16,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,,3,,,12,,,16,,8,16,,30,30,,
Thurrock Garden Centre,15,15,15,,15,,15,,,,,,,,,,,,,,16,,8,,16,,16,16,16,,,,15,,15,,,,,,,,,,,,8,,,16,,,30,,,3,3,8,16,8,,16,8,16,,20,20,30,
Toad Hall Garden Centre,,,15,,,,15,,,,15,,,,,,,16,,,,,,,,,,,,,15,,,,,,,,15,,,16,,,,,,,,,,,,,,,,16,,,,,,16,,20,,,
Tom's Nurseries and Garden Centre,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,
Tong Garden Centre Ltd (Otley),,,,,,,,,,,,,,,,,,12,,,12,,,12,,,12,,,,,,,,,,,,,,,8,,,8,,,,,,,30,,,,3,,30,,,,,,16,,30,,,
Tong Garden Centre Ltd (Tingley),,,15,,15,,15,,15,,15,,,,,,,16,,16,,16,16,16,,16,,16,,,,,,,,,,,,,,,,,,,,,,,,20,,20,,3,,16,,16,,16,16,16,,20,20,,
Tong Garden Centre Ltd (Tong),,,,,,,,,,,,,,,,,,12,,,12,,,12,,,12,,,,,,,,,,,,,,,8,,,8,,,,,,,30,,,,3,,30,,,,,,16,,30,,,
Trago Mills Newton Abbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,
Treborth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,16,,,,,16,16,,20,,,
Trowell,,,,15,15,15,15,15,15,15,15,,,,,,,,16,,,16,,,16,,,16,,,,15,,15,,15,,15,,,,,,,,,,,,,,30,,,,3,,16,,,16,,,,,20,,,
Upcountry Garden and Country Store Scaynes Hill,,,,,,30,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,30,,,3,,,,,30,,,30,,,,,,
Value House Stores Barnstaple,20,20,,,15,,,15,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,20,,,3,,,16,,,16,,,,,30,,,
Value House Stores Bideford,,,,,15,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanstone Park Garden Centre,,,,15,,,15,,,,15,,,,,,,16,,,16,,,,16,,,,,,,15,,,15,,,,15,,,16,,,16,,,,16,,,30,,,,,,30,,16,16,16,8,16,,30,30,,
Vincent Nurseries,,,15,,,,,,,,15,,,,,,16,,,16,,16,,16,,,,16,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,16,,,16,,8,16,,,,,
Waresley Park Garden Centre,,,,30,,,15,,,,,,,,,,,16,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,3,,,16,,16,16,,,,20,,,
Webbs Cheltenham,,,,,,15,,15,,,,,,,,,,16,,,16,,,16,,,,,,,15,,15,,15,,,,,,,,16,,16,,,,,,,20,,,6,,,16,,16,,,8,16,,,,,
Webbs Millets Farm,,,15,,15,,15,,15,,,,,,,,16,,,,16,,16,,,,,,,,15,,,,15,15,,,,,,,16,,16,,16,,,,,,30,,6,,3,16,,,16,,8,16,,20,,,
Webbs West Hagley,,,,,15,,,15,,,,,,,,,,,,16,,,16,,,,,,,,,,15,,,16,,,,,,,,,16,,,,,,,,20,,,3,,16,,,16,,,16,,,,,
Webbs Wychbold,,,15,,,,,15,,15,,,,,,,16,,,,,,16,,,16,,,,,,15,,15,15,,15,,,,,,16,,8,,16,,,,,20,30,20,6,6,,16,16,16,,16,8,16,,30,20,,
Welland Vale Nurseries ,,,,,,15,,,,,15,,,,,,,,,,,16,,,,,,,,,,,15,,15,,,,,,,,,,,,,,,,,,,20,,,3,,16,,16,,,,,,20,30,
Wellington Home & Gardens (English Salvage),,,,,,,15,,,,,,,,,,,,,,16,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,12,,,,,
West Somerset Garden Centre,,,,15,,30,,,,,,,,,,,,,,,,16,,,16,,,16,,,,,,,,,,,,,,16,,16,,,16,,,,,,,,,,,,,,,,16,16,,,,,
Westerham Heights,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,30,,,3,,,,,,,,,,,20,,,
Whilton Locks,,,15,,,15,15,,,,,,,,,,16,,,16,16,,,,,,,,,,15,,,15,15,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,
Whitakers (Beesley & Fildes),,,15,,,,15,,,,15,,,,,,,,,,,,,,,,,,,,,15,,,15,,,15,,,,,,16,,,16,,,16,,,20,,,,,,,,16,,12,16,,,,,
Whitehall Lacock,,,15,,15,,15,,15,,15,,,,,,,16,,16,,16,,16,,16,,16,,,,15,,,15,,,15,,,,,16,,,16,,,16,,,30,20,,3,3,,16,16,16,16,8,8,30,,,20,,
Whitehall Whitchurch,,,15,,15,,30,,15,15,15,,,,,,,16,,16,,16,,16,,16,,16,,,,,,,,,,,,,,16,,16,,16,,16,,16,,20,20,,,,,16,16,16,16,,8,16,,,,,
Whitehall Woodborough,,,,15,,,,15,,,15,,,,,,,,,,16,,,,,,,,,,15,,15,,15,,,,,,,,,,,16,,16,,16,,,20,,,3,,,16,,16,,4,16,,,20,,
Willowbrook Garden Centre Bromsgrove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,
Willowbrook Garden Centre Taunton,,,,,,,,,,,,,,,,,,16,,,16,,,,,,,,,,,,,,,,,,,,,,,,16,,,16,,,,,20,,,3,,,16,,,16,16,,,,30,,
Woodlands Garden Centre,,,,,30,,15,,,,21,,,,,,,,30,,16,,,,12,,30,,,,,,30,,15,,,,6,,,,,,16,,,,16,,,,,,,,,30,16,,,,,,,,,,
Workbridge Garden Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,
Yarnton Nurseries,,,15,,15,,15,,15,,15,,,,,,,16,,,16,,16,,,16,,16,,,15,,,,15,,,,15,,,,,16,,,,,16,,,30,60,30,,,,16,16,,,16,8,30,,30,30,,
3 SHIRES GARDEN CENTRE (BD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & L MEE LIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A C  NURDEN (MALMESBURY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A G MEALE & SONS LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBEY PET FOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBROOK WILLOWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABERCORN PLANT AND GARDEN CENTRE LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABERGLASNEY RESTORATION TRUST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACKWORTH GARDEN CENTRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACORN NURSERIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRES SUPPLY LIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACW GARDEN CENTRE LLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACW GARDEN SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAM THE GARDENER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADDISCOMBE FRUIT & VEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADMILL INVESTMENTS LIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADRIAN HALL LTD - USE QC116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADRIAN WHITE BUILDING SUPPLIES LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFFINITY TRUST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AINSDALE HOME & GARDEN LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALANSHIRE LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBAN HILL NURSERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALDBY FIELD NURSERIES LTD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEX BRENTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER LANDSCAPES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL IN GARDENS LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL PLANTS WHOLESALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLEYN PARK GARDEN CENTRE LTD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLINGTON NURSERY & GARDEN CEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL-IN-ONE GARDEN CENTRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLIUM GARDEN COMPANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLWOODS (HASSOCKS) LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALMAR NURSERIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALMODINGTON NURSERIES LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTON GARDEN CENTRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALWAYS A GOOD PRICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBIENCE LANDSCAPES LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBLESIDE SOLIHULL RESTAURANT & GARDEN CENTRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMETHYST HORTICULTURE LTD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDY LANDSCAPES GARDEN CENTRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGEL GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGIE TURNER DESIGNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANITA'S NURSERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANLEX LAND LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANSDELL IN BLOOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPLE CAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARBORETUM GARDEN CENTRE LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARBORETUM KILQUADE LIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCADE NURSERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH PLANT CENTRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARENA ONLINE LIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARGYLE PET & GARDEN CENTRE LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ART NURSERY & GARDEN CENTRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR NEWMANS GARDEN CENTRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHRIDGE MANOR FARM NURSERY LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
